Time,Dual Fuel,Hydro,Natural Gas,Nuclear,Other Fossil Fuels,Other Renewables,Wind
2021-11-01 00:05:00-04:00,2401.0,2618.0,3393.0,3309.0,3.0,218.0,1462.0
2021-11-01 00:10:00-04:00,2411.0,2636.0,3380.0,3310.0,3.0,218.0,1475.0
2021-11-01 00:15:00-04:00,2321.0,2514.0,3509.0,3311.0,3.0,218.0,1478.0
2021-11-01 00:20:00-04:00,2267.0,2405.0,3572.0,3311.0,3.0,217.0,1457.0
2021-11-01 00:25:00-04:00,2266.0,2404.0,3583.0,3310.0,3.0,218.0,1401.0
2021-11-01 00:30:00-04:00,2215.0,2472.0,3577.0,3310.0,3.0,216.0,1362.0
2021-11-01 00:35:00-04:00,2162.0,2545.0,3558.0,3312.0,3.0,215.0,1382.0
2021-11-01 00:40:00-04:00,2126.0,2633.0,3506.0,3312.0,3.0,216.0,1402.0
2021-11-01 00:45:00-04:00,2125.0,2698.0,3499.0,3310.0,3.0,218.0,1389.0
2021-11-01 00:50:00-04:00,2160.0,2628.0,3566.0,3311.0,3.0,217.0,1391.0
2021-11-01 00:55:00-04:00,2170.0,2562.0,3600.0,3311.0,3.0,219.0,1413.0
2021-11-01 01:00:00-04:00,2165.0,2518.0,3614.0,3311.0,3.0,217.0,1429.0
2021-11-01 01:05:00-04:00,2177.0,2477.0,3627.0,3312.0,3.0,217.0,1407.0
2021-11-01 01:10:00-04:00,2091.0,2411.0,3606.0,3310.0,3.0,221.0,1363.0
2021-11-01 01:15:00-04:00,2038.0,2425.0,3592.0,3310.0,3.0,217.0,1360.0
2021-11-01 01:20:00-04:00,2029.0,2412.0,3584.0,3310.0,3.0,216.0,1380.0
2021-11-01 01:25:00-04:00,2024.0,2457.0,3556.0,3311.0,3.0,216.0,1373.0
2021-11-01 01:30:00-04:00,2022.0,2425.0,3548.0,3310.0,3.0,218.0,1398.0
2021-11-01 01:35:00-04:00,2023.0,2464.0,3555.0,3310.0,3.0,221.0,1387.0
2021-11-01 01:40:00-04:00,2023.0,2462.0,3568.0,3310.0,3.0,220.0,1408.0
2021-11-01 01:45:00-04:00,2023.0,2404.0,3580.0,3310.0,3.0,219.0,1429.0
2021-11-01 01:50:00-04:00,2027.0,2346.0,3594.0,3309.0,3.0,216.0,1464.0
2021-11-01 01:55:00-04:00,2024.0,2345.0,3591.0,3309.0,3.0,216.0,1461.0
2021-11-01 02:00:00-04:00,2026.0,2369.0,3558.0,3310.0,3.0,215.0,1483.0
2021-11-01 02:05:00-04:00,2036.0,2461.0,3548.0,3309.0,3.0,215.0,1503.0
2021-11-01 02:10:00-04:00,2035.0,2479.0,3599.0,3310.0,3.0,216.0,1486.0
2021-11-01 02:15:00-04:00,2030.0,2412.0,3586.0,3310.0,3.0,213.0,1478.0
2021-11-01 02:20:00-04:00,2026.0,2457.0,3483.0,3308.0,3.0,214.0,1495.0
2021-11-01 02:25:00-04:00,2026.0,2519.0,3420.0,3310.0,3.0,214.0,1491.0
2021-11-01 02:30:00-04:00,2026.0,2465.0,3464.0,3310.0,3.0,211.0,1479.0
2021-11-01 02:35:00-04:00,2028.0,2443.0,3477.0,3311.0,3.0,215.0,1485.0
2021-11-01 02:40:00-04:00,2029.0,2466.0,3447.0,3309.0,3.0,216.0,1500.0
2021-11-01 02:45:00-04:00,2028.0,2469.0,3428.0,3310.0,3.0,215.0,1522.0
2021-11-01 02:50:00-04:00,2028.0,2454.0,3434.0,3310.0,3.0,214.0,1553.0
2021-11-01 02:55:00-04:00,2030.0,2378.0,3504.0,3310.0,3.0,212.0,1554.0
2021-11-01 03:00:00-04:00,2031.0,2321.0,3587.0,3309.0,3.0,211.0,1532.0
2021-11-01 03:05:00-04:00,2053.0,2430.0,3535.0,3308.0,3.0,213.0,1512.0
2021-11-01 03:10:00-04:00,2113.0,2518.0,3448.0,3309.0,3.0,219.0,1503.0
2021-11-01 03:15:00-04:00,2079.0,2570.0,3450.0,3309.0,3.0,220.0,1479.0
2021-11-01 03:20:00-04:00,2035.0,2590.0,3442.0,3310.0,3.0,219.0,1443.0
2021-11-01 03:25:00-04:00,2031.0,2618.0,3417.0,3310.0,3.0,219.0,1416.0
2021-11-01 03:30:00-04:00,2028.0,2653.0,3368.0,3311.0,3.0,218.0,1427.0
2021-11-01 03:35:00-04:00,2043.0,2685.0,3338.0,3311.0,3.0,217.0,1471.0
2021-11-01 03:40:00-04:00,2058.0,2685.0,3349.0,3310.0,3.0,212.0,1499.0
2021-11-01 03:45:00-04:00,2030.0,2603.0,3428.0,3310.0,3.0,217.0,1510.0
2021-11-01 03:50:00-04:00,2028.0,2548.0,3454.0,3311.0,3.0,217.0,1487.0
2021-11-01 03:55:00-04:00,2044.0,2638.0,3369.0,3310.0,3.0,218.0,1461.0
2021-11-01 04:00:00-04:00,2076.0,2678.0,3302.0,3310.0,3.0,217.0,1473.0
2021-11-01 04:05:00-04:00,2112.0,2694.0,3275.0,3310.0,3.0,220.0,1494.0
2021-11-01 04:10:00-04:00,2111.0,2749.0,3260.0,3311.0,3.0,221.0,1514.0
2021-11-01 04:15:00-04:00,2089.0,2659.0,3379.0,3310.0,3.0,216.0,1543.0
2021-11-01 04:20:00-04:00,2087.0,2560.0,3516.0,3311.0,3.0,217.0,1539.0
2021-11-01 04:25:00-04:00,2090.0,2503.0,3582.0,3312.0,3.0,219.0,1512.0
2021-11-01 04:30:00-04:00,2105.0,2525.0,3597.0,3311.0,3.0,220.0,1491.0
2021-11-01 04:35:00-04:00,2153.0,2625.0,3592.0,3311.0,3.0,220.0,1477.0
2021-11-01 04:40:00-04:00,2230.0,2683.0,3548.0,3311.0,3.0,218.0,1502.0
2021-11-01 04:45:00-04:00,2272.0,2715.0,3505.0,3312.0,3.0,219.0,1551.0
2021-11-01 04:50:00-04:00,2281.0,2694.0,3544.0,3313.0,3.0,217.0,1563.0
2021-11-01 04:55:00-04:00,2297.0,2655.0,3610.0,3313.0,3.0,221.0,1558.0
2021-11-01 05:00:00-04:00,2274.0,2705.0,3574.0,3313.0,3.0,215.0,1556.0
2021-11-01 05:05:00-04:00,2210.0,2637.0,3529.0,3313.0,3.0,216.0,1546.0
2021-11-01 05:10:00-04:00,2190.0,2493.0,3552.0,3313.0,3.0,214.0,1533.0
2021-11-01 05:15:00-04:00,2199.0,2453.0,3608.0,3312.0,3.0,211.0,1494.0
2021-11-01 05:20:00-04:00,2201.0,2450.0,3604.0,3314.0,3.0,214.0,1492.0
2021-11-01 05:25:00-04:00,2247.0,2560.0,3544.0,3314.0,3.0,219.0,1498.0
2021-11-01 05:30:00-04:00,2297.0,2579.0,3449.0,3314.0,3.0,218.0,1534.0
2021-11-01 05:35:00-04:00,2270.0,2692.0,3394.0,3313.0,3.0,220.0,1540.0
2021-11-01 05:40:00-04:00,2289.0,2737.0,3361.0,3314.0,3.0,219.0,1538.0
2021-11-01 05:45:00-04:00,2328.0,2843.0,3326.0,3312.0,3.0,221.0,1546.0
2021-11-01 05:50:00-04:00,2361.0,2934.0,3412.0,3313.0,3.0,223.0,1547.0
2021-11-01 05:55:00-04:00,2412.0,2873.0,3572.0,3315.0,3.0,219.0,1539.0
2021-11-01 06:00:00-04:00,2479.0,2852.0,3602.0,3315.0,3.0,222.0,1511.0
2021-11-01 06:05:00-04:00,2566.0,2851.0,3555.0,3315.0,3.0,220.0,1503.0
2021-11-01 06:10:00-04:00,2614.0,2951.0,3589.0,3315.0,3.0,221.0,1502.0
2021-11-01 06:15:00-04:00,2638.0,2979.0,3631.0,3315.0,3.0,220.0,1444.0
2021-11-01 06:20:00-04:00,2648.0,2894.0,3640.0,3315.0,3.0,219.0,1413.0
2021-11-01 06:25:00-04:00,2685.0,2891.0,3603.0,3314.0,3.0,219.0,1472.0
2021-11-01 06:30:00-04:00,2752.0,2957.0,3572.0,3315.0,3.0,218.0,1483.0
2021-11-01 06:35:00-04:00,2821.0,3005.0,3626.0,3314.0,3.0,219.0,1490.0
2021-11-01 06:40:00-04:00,2929.0,3025.0,3647.0,3314.0,3.0,218.0,1488.0
2021-11-01 06:45:00-04:00,2929.0,3067.0,3647.0,3314.0,3.0,216.0,1496.0
2021-11-01 06:50:00-04:00,2877.0,3134.0,3635.0,3314.0,3.0,214.0,1480.0
2021-11-01 06:55:00-04:00,2861.0,3202.0,3638.0,3315.0,3.0,218.0,1470.0
2021-11-01 07:00:00-04:00,2925.0,3268.0,3643.0,3315.0,3.0,216.0,1452.0
2021-11-01 07:05:00-04:00,3009.0,3405.0,3637.0,3315.0,3.0,214.0,1458.0
2021-11-01 07:10:00-04:00,3075.0,3483.0,3642.0,3316.0,3.0,214.0,1450.0
2021-11-01 07:15:00-04:00,3099.0,3618.0,3653.0,3316.0,3.0,210.0,1449.0
2021-11-01 07:20:00-04:00,3104.0,3714.0,3617.0,3315.0,3.0,214.0,1424.0
2021-11-01 07:25:00-04:00,3144.0,3762.0,3625.0,3315.0,3.0,210.0,1422.0
2021-11-01 07:30:00-04:00,3186.0,3771.0,3657.0,3315.0,3.0,213.0,1399.0
2021-11-01 07:35:00-04:00,3207.0,3732.0,3658.0,3316.0,3.0,214.0,1370.0
2021-11-01 07:40:00-04:00,3216.0,3722.0,3675.0,3317.0,3.0,215.0,1360.0
2021-11-01 07:45:00-04:00,3248.0,3699.0,3751.0,3316.0,3.0,213.0,1338.0
2021-11-01 07:50:00-04:00,3261.0,3614.0,3774.0,3315.0,3.0,214.0,1317.0
2021-11-01 07:55:00-04:00,3270.0,3650.0,3790.0,3315.0,3.0,214.0,1269.0
2021-11-01 08:00:00-04:00,3288.0,3672.0,3833.0,3317.0,3.0,217.0,1263.0
2021-11-01 08:05:00-04:00,3323.0,3556.0,3853.0,3316.0,3.0,219.0,1274.0
2021-11-01 08:10:00-04:00,3331.0,3453.0,3851.0,3317.0,3.0,216.0,1265.0
2021-11-01 08:15:00-04:00,3339.0,3441.0,3849.0,3316.0,3.0,213.0,1260.0
2021-11-01 08:20:00-04:00,3331.0,3443.0,3793.0,3315.0,3.0,216.0,1249.0
2021-11-01 08:25:00-04:00,3314.0,3457.0,3781.0,3316.0,3.0,218.0,1253.0
2021-11-01 08:30:00-04:00,3296.0,3476.0,3797.0,3316.0,3.0,217.0,1246.0
2021-11-01 08:35:00-04:00,3251.0,3433.0,3759.0,3317.0,3.0,217.0,1268.0
2021-11-01 08:40:00-04:00,3198.0,3437.0,3760.0,3316.0,3.0,222.0,1271.0
2021-11-01 08:45:00-04:00,3179.0,3475.0,3719.0,3316.0,3.0,223.0,1283.0
2021-11-01 08:50:00-04:00,3260.0,3459.0,3665.0,3317.0,3.0,224.0,1257.0
2021-11-01 08:55:00-04:00,3273.0,3450.0,3640.0,3316.0,3.0,224.0,1231.0
